CASEID,YEAR
     1,1989
     2,1989
     3,1989
     4,1989
     5,1989
     6,1989
     7,1989
     8,1989
     9,1989
    10,1989
    11,1989
    12,1989
    13,1989
    14,1989
    15,1989
    16,1989
    17,1989
    18,1989
    19,1989
    20,1989
    21,1989
    22,1989
    23,1989
    24,1989
    25,1989
    26,1989
    27,1989
    28,1989
    29,1989
    30,1989
    31,1989
    32,1989
    33,1989
    34,1989
    35,1989
    36,1989
    37,1989
    38,1989
    39,1989
    40,1989
    41,1989
    42,1989
    43,1989
    44,1989
    45,1989
    46,1989
    47,1989
    48,1989
    49,1989
    50,1989
    51,1989
    52,1989
    53,1989
    54,1989
    55,1989
    56,1989
    57,1989
    58,1989
    59,1989
    60,1989
    61,1989
    62,1989
    63,1989
    64,1989
    65,1989
    66,1989
    67,1989
    68,1989
    69,1989
    70,1989
    71,1989
    72,1989
    73,1989
    74,1989
    75,1989
    76,1989
    77,1989
    78,1989
    79,1989
    80,1989
    81,1989
    82,1989
    83,1989
    84,1989
    85,1989
    86,1989
    87,1989
    88,1989
    89,1989
    90,1989
    91,1989
    92,1989
    93,1989
    94,1989
    95,1989
    96,1989
    97,1989
    98,1989
    99,1989
   100,1989
   101,1989
   102,1989
   103,1989
   104,1989
   105,1989
   106,1989
   107,1989
   108,1989
   109,1989
   110,1989
   111,1989
   112,1989
   113,1989
   114,1989
   115,1989
   116,1989
   117,1989
   118,1989
   119,1989
   120,1989
   121,1989
   122,1989
   123,1989
   124,1989
   125,1989
   126,1989
   127,1989
   128,1989
   129,1989
   130,1989
   131,1989
   132,1989
   133,1989
   134,1989
   135,1989
   136,1989
   137,1989
   138,1989
   139,1989
   140,1989
   141,1989
   142,1989
   143,1989
   144,1989
   145,1989
   146,1989
   147,1989
   148,1989
   149,1989
   150,1989
   151,1989
   152,1989
   153,1989
   154,1989
   155,1989
   156,1989
   157,1989
   158,1989
   159,1989
   160,1989
   161,1989
   162,1989
   163,1989
   164,1989
   165,1989
   166,1989
   167,1989
   168,1989
   169,1989
   170,1989
   171,1989
   172,1989
   173,1989
   174,1989
   175,1989
   176,1989
   177,1989
   178,1989
   179,1989
   180,1989
   181,1989
   182,1989
   183,1989
   184,1989
   185,1989
   186,1989
   187,1989
   188,1989
   189,1989
   190,1989
   191,1989
   192,1989
   193,1989
   194,1989
   195,1989
   196,1989
   197,1989
   198,1989
   199,1989
   200,1989
   201,1989
   202,1989
   203,1989
   204,1989
   205,1989
   206,1989
   207,1989
   208,1989
   209,1989
   210,1989
   211,1989
   212,1989
   213,1989
   214,1989
   215,1989
   216,1989
   217,1989
   218,1989
   219,1989
   220,1989
   221,1989
   222,1989
   223,1989
   224,1989
   225,1989
   226,1989
   227,1989
   228,1989
   229,1989
   230,1989
   231,1989
   232,1989
   233,1989
   234,1989
   235,1989
   236,1989
   237,1989
   238,1989
   239,1989
   240,1989
   241,1989
   242,1989
   243,1989
   244,1989
   245,1989
   246,1989
   247,1989
   248,1989
   249,1989
   250,1989
   251,1989
   252,1989
   253,1989
   254,1989
   255,1989
   256,1989
   257,1989
   258,1989
   259,1989
   260,1989
   261,1989
   262,1989
   263,1989
   264,1989
   265,1989
   266,1989
   267,1989
   268,1989
   269,1989
   270,1989
   271,1989
   272,1989
   273,1989
   274,1989
   275,1989
   276,1989
   277,1989
   278,1989
   279,1989
   280,1989
   281,1989
   282,1989
   283,1989
   284,1989
   285,1989
   286,1989
   287,1989
   288,1989
   289,1989
   290,1989
   291,1989
   292,1989
   293,1989
   294,1989
   295,1989
   296,1989
   297,1989
   298,1989
   299,1989
   300,1989
   301,1989
   302,1989
   303,1989
   304,1989
   305,1989
   306,1989
   307,1989
   308,1989
   309,1989
   310,1989
   311,1989
   312,1989
   313,1989
   314,1989
   315,1989
   316,1989
   317,1989
   318,1989
   319,1989
   320,1989
   321,1989
   322,1989
   323,1989
   324,1989
   325,1989
   326,1989
   327,1989
   328,1989
   329,1989
   330,1989
   331,1989
   332,1989
   333,1989
   334,1989
   335,1989
   336,1989
   337,1989
   338,1989
   339,1989
   340,1989
   341,1989
   342,1989
   343,1989
   344,1989
   345,1989
   346,1989
   347,1989
   348,1989
   349,1989
   350,1989
   351,1989
   352,1989
   353,1989
   354,1989
   355,1989
   356,1989
   357,1989
   358,1989
   359,1989
   360,1989
   361,1989
   362,1989
   363,1989
   364,1989
   365,1989
   366,1989
   367,1989
   368,1989
   369,1989
   370,1989
   371,1989
   372,1989
   373,1989
   374,1989
   375,1989
   376,1989
   377,1989
   378,1989
   379,1989
   380,1989
   381,1989
   382,1989
   383,1989
   384,1989
   385,1989
   386,1989
   387,1989
   388,1989
   389,1989
   390,1989
   391,1989
   392,1989
   393,1989
   394,1989
   395,1989
   396,1989
   397,1989
   398,1989
   399,1989
   400,1989
   401,1989
   402,1989
   403,1989
   404,1989
   405,1989
   406,1989
   407,1989
   408,1989
   409,1989
   410,1989
   411,1989
   412,1989
   413,1989
   414,1989
   415,1989
   416,1989
   417,1989
   418,1989
   419,1989
   420,1989
   421,1989
   422,1989
   423,1989
   424,1989
   425,1989
   426,1989
   427,1989
   428,1989
   429,1989
   430,1989
   431,1989
   432,1989
   433,1989
   434,1989
   435,1989
   436,1989
   437,1989
   438,1989
   439,1989
   440,1989
   441,1989
   442,1989
   443,1989
   444,1989
   445,1989
   446,1989
   447,1989
   448,1989
   449,1989
   450,1989
   451,1989
   452,1989
   453,1989
   454,1989
   455,1989
   456,1989
   457,1989
   458,1989
   459,1989
   460,1989
   461,1989
   462,1989
   463,1989
   464,1989
   465,1989
   466,1989
   467,1989
   468,1989
   469,1989
   470,1989
   471,1989
   472,1989
   473,1989
   474,1989
   475,1989
   476,1989
   477,1989
   478,1989
   479,1989
   480,1989
   481,1989
   482,1989
   483,1989
   484,1989
   485,1989
   486,1989
   487,1989
   488,1989
   489,1989
   490,1989
   491,1989
   492,1989
   493,1989
   494,1989
   495,1989
   496,1989
   497,1989
   498,1989
   499,1989
   500,1989
   501,1989
   502,1989
   503,1989
   504,1989
   505,1989
   506,1989
   507,1989
   508,1989
   509,1989
   510,1989
   511,1989
   512,1989
   513,1989
   514,1989
   515,1989
   516,1989
   517,1989
   518,1989
   519,1989
   520,1989
   521,1989
   522,1989
   523,1989
   524,1989
   525,1989
   526,1989
   527,1989
   528,1989
   529,1989
   530,1989
   531,1989
   532,1989
   533,1989
   534,1989
   535,1989
   536,1989
   537,1989
   538,1989
   539,1989
   540,1989
   541,1989
   542,1989
   543,1989
   544,1989
   545,1989
   546,1989
   547,1989
   548,1989
   549,1989
   550,1989
   551,1989
   552,1989
   553,1989
   554,1989
   555,1989
   556,1989
   557,1989
   558,1989
   559,1989
   560,1989
   561,1989
   562,1989
   563,1989
